# Theoretical AGN LF at redshift 5. Liu & Inayoshi (2024). 
# Parameters: n_0h = 1e-2 Mpc-3, n_0l = 1e0 Mpc-3
# Data explanation: M_1450 [mag], UV magnitude at 1450 Angstrom; Phi_h [Mpc-3 mag-1], unobscured AGN LF of heavy-seed BHs; Phi_l [Mpc-3 mag-1], unobscured AGN LF of light-seed BHs; Phi_h_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of heavy-seed BHs; Phi_l_intrinsic [Mpc-3 mag-1], intrinsic (unobscured+obscured) AGN LF of light-seed BHs.
M_1450, Phi_h, Phi_l, Phi_h_intrinsic, Phi_l_intrinsic
-1.000294117647058911e+01, 7.224936451551144945e-05, 2.188692652920474699e-02, 4.515585282219292118e-04, 1.367932908075296661e-01
-9.844117647058824971e+00, 6.222438268953245366e-05, 2.120721822805292020e-02, 3.889023918095813048e-04, 1.325451139253307486e-01
-9.685294117647059053e+00, 5.296273265862141977e-05, 2.041488221043542828e-02, 3.310170791163968840e-04, 1.275930138152213955e-01
-9.526470588235294912e+00, 4.446769267145433968e-05, 1.950736739940299100e-02, 2.779230791965930925e-04, 1.219210462462686773e-01
-9.367647058823530770e+00, 3.689528039952857941e-05, 1.850840579616784207e-02, 2.305955024970579581e-04, 1.156775362260489964e-01
-9.208823529411766629e+00, 3.016700899392127377e-05, 1.741704302643721017e-02, 1.885438062120131653e-04, 1.088565189152325557e-01
-9.050000000000002487e+00, 2.426826056427591749e-05, 1.624147794814618379e-02, 1.516766285267201475e-04, 1.015092371759136330e-01
-8.891176470588236569e+00, 1.922505667813385888e-05, 1.500963584861028308e-02, 1.201566042383361843e-04, 9.381022405381425622e-02
-8.732352941176472427e+00, 1.493477142257455814e-05, 1.372486024364529336e-02, 9.334232139109055471e-05, 8.578037652278307224e-02
-8.573529411764708286e+00, 1.135755484434064488e-05, 1.240779917553547392e-02, 7.098471777712556108e-05, 7.754874484709670113e-02
